country,year,value
FMLN (El Salvador)*,1991,1
France,1950,14
,1951,67
,1952,43
,1953,315
,1954,371
,1955,471
,1956,864
,1957,648
,1958,703
,1959,793
,1960,1133
,1961,956
,1962,989
,1963,1292
,1964,1494
,1965,1247
,1966,1701
,1967,1526
,1968,1471
,1969,1446
,1970,1643
,1971,2282
,1972,2606
,1973,2876
,1974,2095
,1975,2154
,1976,2006
,1977,2678
,1978,3301
,1979,3019
,1980,3860
,1981,3786
,1982,3831
,1983,3468
,1984,3029
,1985,4026
,1986,3025
,1987,1785
,1988,1963
,1989,2207
,1990,1698
,1991,1107
,1992,1183
,1993,926
,1994,842
,1995,967
,1996,1896
,1997,3230
,1998,3139
,1999,1859
,2000,1116
,2001,1455
,2002,1474
,2003,1441
,2004,2324
,2005,1842
,2006,1702
,2007,2408
,2008,2063
,2009,1959
,2010,911
,2011,1770
,2012,1067
,2013,1578
,2014,1978
Gabon,1973,1
Georgia,1999,46
,2000,69
,2002,69
,2004,16
Germany (FRG),1953,38
,1954,29
,1955,24
,1956,24
,1957,44
,1958,25
,1959,93
,1960,156
,1961,12
,1962,146
,1963,133
,1964,418
,1965,307
,1966,693
,1967,761
,1968,588
,1969,749
,1970,1461
,1971,1364
,1972,1377
,1973,226
,1974,1208
,1975,1440
,1976,1662
,1977,1712
,1978,1628
,1979,1439
,1980,1648
,1981,2029
,1982,1677
,1983,2395
,1984,2944
,1985,1374
,1986,1504
,1987,1043
,1988,1480
,1989,1246
,1990,1834
,1991,2516
,1992,1453
,1993,1580
,1994,2751
,1995,1468
,1996,1974
,1997,955
,1998,1837
,1999,1871
,2000,1619
,2001,923
,2002,916
,2003,1731
,2004,1139
,2005,2081
,2006,2710
,2007,3257
,2008,2388
,2009,2547
,2010,2725
,2011,1359
,2012,1161
,2013,942
,2014,1200
Ghana,1979,6
